country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Greece|2020Q2|0.014703843584713045|0.0|54.120879120879124|62.58073012|50.510048180000005|10.473452|3.7472527472527473|-40.48351648351648|-29.52747252747253|68.97582417582417|-13.3606911
Greece|2020Q3|0.019000421255570752|0.0|78.26086956521739|62.58073012|50.510048180000005|10.473452|15.402173913043478|7.5|-14.782608695652174|57.73826086956522|5.42278697
Greece|2020Q4|0.42462043579469405|0.0|87.5|62.58073012|50.510048180000005|10.472904217391305|5.934782608695652|-38.96739130434783|-28.32608695652174|71.79336956521739|4.08692147
Greece|2021Q1|0.3122884497598401|0.014834420922232404|87.5|62.580730120000005|50.510048180000005|10.423056|1.288888888888889|-54.74444444444445|-34.86666666666667|83.84855555555555|3.43842632
Greece|2021Q2|0.44257653417577336|0.13518300199097077|87.5|62.58073012|50.510048180000005|10.423056|33.24175824175824|-15.87912087912088|-20.956043956043956|65.90428571428572|1.34535797
Greece|2021Q3|0.20358712454389574|0.4480653274816906|87.5|62.58073012|50.510048180000005|10.423056|56.41304347826087|23.032608695652176|-14.108695652173912|70.0029347826087|2.32893695
Greece|2021Q4|0.5720011482237071|0.5522353520886772|87.5|62.58073012|50.510048180000005|10.423056|49.858695652173914|-3.2282608695652173|-13.83695652173913|75.42304347826087|0.80913632
Hong Kong|2020Q1|0.0005318795292866166|0.0|38.46153846153846|83.142025|77.58023589|7.5205|-4.923076923076923|-24.934065934065934|-16.36263736263736|41.05604395604396|-5.1
Hong Kong|2020Q2|0.0003989096469649624|0.0|100.0|83.142025|77.58023589|7.5205|-0.8901098901098901|-19.285714285714285|-13.747252747252746|59.292307692307695|-1.2
Hong Kong|2020Q3|0.013031048467522106|0.0|100.0|83.142025|77.58023589|7.520499999999999|10.902173913043478|-26.804347826086957|-19.706521739130434|61.455652173913045|2.7
